Order_ID,Order_Date,City,Product_Category,Sales_Channel,Weather,Discount_Pct,Delivery_Time_Min,Order_Value,Customer_Rating,Issue_Type,Repeat_Customer
ORD100000,2025-01-01 00:00:00,Mumbai,Biryani,Phone,Sunny,30,78,443.14,1.9,Packaging,Yes
ORD100001,2025-01-01 03:00:00,Delhi,Chinese,App,Rainy,5,40,406.74,N/A,None,No
ORD100002,2025-01-01 06:00:00,Chennai,Biryani,Phone,Sunny,10,29,810.58,2.6,None,Yes
ORD100003,2025-01-01 09:00:00,Delhi,Pizza,App,Sunny,25,47,490.11,4.5,Late Delivery,No
ORD100004,2025-01-01 12:00:00,Delhi,Chinese,App,Cloudy,20,76,435.51,1.1,None,No
ORD100005,2025-01-01 15:00:00,Hyderabad,Biryani,App,Cloudy,25,61,296.38,4.6,None,Yes
ORD100006,2025-01-01 18:00:00,Chennai,Burger,Web,Sunny,25,49,238.34,3.6,Missing Item,Yes
ORD100007,2025-01-01 21:00:00,Chennai,Pizza,Web,Rainy,10,79,588.69,4.0,None,No
ORD100008,2025-01-02 00:00:00,Chennai,Pizza,App,Cloudy,5,86,577.93,1.0,None,No
ORD100009,2025-01-02 03:00:00,Delhi,Pizza,App,Rainy,0,39,,3.5,None,Yes
ORD100010,2025-01-02 06:00:00,Mumbai,Burger,Web,Rainy,15,71,536.2,3.4,Packaging,Yes
ORD100011,2025-01-02 09:00:00,Chennai,Burger,Phone,Rainy,25,46,379.24,3.1,Wrong Item,Yes
ORD100012,2025-01-02 12:00:00,Pune,South Indian,App,Sunny,15,77,541.98,4.1,None,No
ORD100013,2025-01-02 15:00:00,Delhi,Dessert,Phone,Rainy,5,26,435.55,3.2,None,Yes
ORD100014,2025-01-02 18:00:00,Hyderabad,Biryani,Web,Sunny,15,-1,,4.4,Wrong Item,Yes
ORD100015,2025-01-02 21:00:00,Mumbai,South Indian,App,Sunny,25,15,690.18,1.9,None,Yes
ORD100016,2025-01-03 00:00:00,Pune,Biryani,Phone,Rainy,10,65,,4.2,None,No
ORD100017,2025-01-03 03:00:00,Pune,Dessert,Phone,Rainy,15,84,766.32,1.7,None,Yes
ORD100018,2025-01-03 06:00:00,Hyderabad,Burger,Phone,Rainy,5,22,663.9,4.3,None,No
ORD100019,2025-01-03 09:00:00,Mumbai,Dessert,Web,Rainy,5,82,453.18,4.8,None,Yes
ORD100020,2025-01-03 12:00:00,Delhi,Burger,Web,Sunny,30,19,570.73,2.3,Packaging,Yes
ORD100021,2025-01-03 15:00:00,Bengaluru,Dessert,Phone,Rainy,30,53,504.99,3.1,Late Delivery,Yes
ORD100022,2025-01-03 18:00:00,Mumbai,South Indian,Phone,Rainy,10,37,,3.6,None,Yes
ORD100023,2025-01-03 21:00:00,Hyderabad,Chinese,Web,Sunny,15,82,794.37,1.3,None,No
ORD100024,2025-01-04 00:00:00,Pune,South Indian,Phone,Cloudy,15,66,543.17,3.0,None,Yes
ORD100025,2025-01-04 03:00:00,Delhi,Biryani,Phone,Cloudy,30,18,298.63,2.4,None,Yes
ORD100026,2025-01-04 06:00:00,Mumbai,South Indian,Web,Sunny,0,61,264.97,4.5,None,Yes
ORD100027,2025-01-04 09:00:00,Bengaluru,Pizza,Phone,Cloudy,20,35,272.32,4.5,None,No
ORD100028,2025-01-04 12:00:00,Bengaluru,Biryani,Phone,Sunny,5,70,538.11,3.8,None,Yes
ORD100029,2025-01-04 15:00:00,Chennai,Dessert,Phone,Rainy,0,80,388.53,3.6,None,Yes
ORD100030,2025-01-04 18:00:00,Chennai,Biryani,Web,Rainy,5,73,509.99,3.9,None,Yes
ORD100031,2025-01-04 21:00:00,Hyderabad,Chinese,Phone,Cloudy,0,21,618.55,2.5,None,No
ORD100032,2025-01-05 00:00:00,Mumbai,Burger,Web,Rainy,30,63,815.17,2.6,None,Yes
ORD100033,2025-01-05 03:00:00,Mumbai,Dessert,Web,Cloudy,30,30,392.67,3.2,None,No
